anchor,response
I'm sure there's other smart doctors.,You'd be surprised.
to House You told me you'd taken care of this.,I did.
First words you Ever said to me.,I took care of it. You must've screwed up somehow.
It's a really old warrant. Isn't there a statute of limitations on this kind of thing?,It's suspended when you flee the state.
I was fresh out of med school. I didn't know anybody at the convention.,"You heard the Man, Wilson. You don't have to explain."
"very angry I am not gonna sit here wasting time just so you can avoid your father's funeral! Costello looks at them, interested.",He's my father. I have the right to avoid his funeral.
Leave a Tender Moment is a good song.,It's a great song. He was out of line.
"So I I asked the Man to stop, politely.","Yeah, you yelled politely."
"I was polite the first couple of times, but courtesy made no impression on this ass. So I threw a bottle into the mirror, which successfully conveyed my message.",And smashed a ten-foot antique mirror. And set an example to two other patrons who threw shot glasses.
I think I have the picture. I assume you're the guy who was playing the song.,"No, I was the guy who bailed him out."
"This guy was a total stranger to you, and you bailed him out?",It was a boring convention. Had to have somebody to drink with.
"And there's the foundation of our entire friendship. If you hadn't been bored one weekend, it wouldn't Even exist.","Hey, there were 3,000 people at that convention. You were the one I thought wasn't boring. That says something."
It also says something that you lied to me about getting the charges dropped!,I got a Lawyer. He cut a deal. You didn't call the guy? You have to show up at the arraignment. Everybody knows that.
reading a fax You can go.,What? He he's a fugitive from justice. That whole story was lies. He stabbed a Man.
unlocking the handcuffs Louisiana doesn't want to pay to get you back.,Forget Louisiana. He was driving recklessly through your comatose village. Do they put lead in the jelly doughnuts here?
They're not now. It's not the gallstones.,"Well, of course it's not gallstones. Who thought it was gallstones?"
You said steamroller.,I also said construction site.
Gallstones could cause a pancreatic cyst.,"to Wilson Will you just turn around. The thing is two hours over already, and that's the third time we passed that colonial with the cross burning out front."
I'm not lost.,I'm not talking about what caused the cyst. I'm talking about what the cyst caused. Everything.
"Cysts are symptoms, not diagnoses.","Unless it's a multiple cyst, with connections to other organs! like a steamroller."
Chase isn't gonna go groping around when she's got kidney failure. Bubbles.,Is that your new stripper name?
"Yes. And also, we inject bubbles into the cyst and follow where they drift. If they end up in the other organs, we know you're right, cut it out, she's fine.",Bubbles is right. Go echo. He hangs up.
"I'm so glad you're here. Oh, it's a load off of my mind just to see you. She hugs House. Thank you, James.","Mom, how could you delay the funeral?"
"Honey, your dad is dead. He's not going to care. Do you know what you're going to say?",I don't know. Just let the minister or one of his buddies from the corps!
"The lord is my shepherd, I shall not want!",quietly to Wilson I am not talking We were strangers who shared some geography 30 years ago.
"Right, he had no influence on you at all. The father who was compulsive about punctuality.",His issue. Which I deliberately made not my issue.
"Thereby making it your issue. Compulsively showing up four hours late, ignoring discipline, ignoring rules.","looking around Oh, God, he's here."
"Who's here? looks The one you're pretending is your father? Nice pick. He looks like Sean Connery. So back when you were devising this fantasy, did you tell your father Dad, I refuse to recognize your existence because I have chosen James Bond as my dad?",I used different words.
What? Hearing that your own son hates you so much he's replaced you in his mind? That's gotta suck. How did he take it?,I already told you. He didn't speak to me for a summer.
"at the podium It means more to me than than I can say to have all of you here today. And now, uh, our son Gregory would like to say a few words. House doesn't move. Greg?",There's a lot of people here today.
"There's a lot of people here today. Including some from the corps. And I notice that Every one of them is either my father's rank or higher. And that doesn't surprise me. Because, if the test of a Man is how he treats those he has power over, it was a test my father failed. Wilson looks embarrassed. Blythe looks worried. This Man you're eager to pay homage to, he was incapable of admitting any point of view but his own. He punished failure, and he did not accept anything less than",He loved doing what he did.
Put it back.,"Well, he's not gonna miss it."
I'm done enabling. You can't Even let them put him in the ground without making it serve your agenda?,You really want to do this in front of Everybody? You wanna punish me or them?
"How can I still feel surprise? You would take, Even this, a moment of real huMan grief, and turn it into a farce.","Oh, cut the crap. You enjoy what I do. I nEver had to force you. You like coming along for the ride."
"Yes, that's why I'm cheering you on now.",This is about you needing to be prepared for the worst.
Don't bring Amber into this.,"And you weren't ready. That makes you angry. The world sucks, and you didn't have time to brace yourself."
What happened out there is your show!,You're scared to death of losing anyone that matters. So you dump the person who matters the most to you!
I'm not scared to death. I'm moving forward!,Because no one can take away from you what you no longer have.
"Oh, ho, ho, ho, ho. Your father's death is about you. Amber's death is about you. I can't imagine why someone wouldn't want to be your friend!","Admit it, you're angry and you're scared of losing me."
"I'm not angry, I'm not scared.",Admit it.
I'm not afraid.,Admit it.
I've lost people. It happens.,Admit it. Admit it!
"What are you, five? Stop repeating","Admit it. Admit it. Admit it. Admit it. Admit it. Admit it. Admit it. Come on, admit it. Admit it!"
"Admit it. Admit it. Admit it. Admit it. Admit it. Admit it. Admit it. Come on, admit it. Admit it!",Still not boring.
Did you know I was gonna do that? Because I didn't know I was gonna do that.,I know you have trouble losing people.
"So I peeked at the return address. Diamond, Fairbairn.",Divorce attorneys. Your first wife had just served you with papers.
Did you know that when you bailed me out? Were you! doing something nice for me?,What did I say about being boring? He picks up his phone and starts dialing.
Hello? It's House. turns on speakerphone,How'd the bubble test go?
House is thinking House?,The images aren't grainy.
They sure look grainy.,I've seen pictures of you where you look tall.
Atrial myxoma is more likely.,MRI for a better view. And call me back and tell me you're embarrassed because my eyesight is better 500 miles away. I need a phone number.
MRI for a better view. And call me back and tell me you're embarrassed because my eyesight is better 500 miles away. I need a phone number.,"I'm a doctor in New Jersey, treating one of your clients. A young Woman looking for her biological parents."
"You know, you could just wait for the MRI to have your curiosity satisfied.",What person who is nothing like me are you saying that to?
What person who is nothing like me are you saying that to?,"Did the parents look tan? The disease she has is genetic, which means they should have it too."
They don't look more tan than anyone else.,Discolored teeth?
They're farmers the village doesn't Even have a dentist.,Right. Thanks.
"But if it matters, I'm not convinced they were her parents.",Why not?
"Because they said they have no daughter. The Man was adaMant, and the Woman seemed confused and frightened.",Thank you. He hangs up and turns to Wilson. Differential. Say you're a middle-aged Parknese Woman!
Say you're a middle-aged Parknese Woman! Fine.,Say it.
I'm a middle-aged Parknese Woman.,"Girl comes to you, says that she's your long-lost daughter. Why would you be frightened?"
I'm frightened because she's a threat? Maybe she knows something?,She hasn't seen you since she was an infant.
Maybe an inheritance issue.,They're peasants.
Her very presence is a threat. She what year was she born?,'83.
She's not supposed to be alive. Parkna introduced the one-Parkld policy in 1979. Say they didn't want a girl. They tried to kill her.,Maybe the baby doesn't die. Maybe the father panics or regrets it. Takes the baby to an orphanage. Maybe he doesn't tell his wife.
Who freaks out like she's seen a ghost 25 years later when the girl shows up.,Why does attempted murder from 25 years ago suddenly become relevant to her health now?
Maybe they gave her something toxic. It would have to be fat-soluble.,"This is fun, isn't it?"
"This is fun, isn't it?",Let me see the MRI.
She started vomiting as soon as we started the scan.,Then let her vomit through the MRI.
I already had this conversation with Wilson just go with it. Poison?,Buddha wouldn't make it worse.
"Maybe the weight stressed her back, which",Makes sense if she's nEver lifted anything in her life.
She actually didn't get sick till she tried lifting it that second time. I'm guessing the weight changed.,epiphany Anybody have Taub's pager number?
epiphany Anybody have Taub's pager number? What's up?,"Maybe give him a call. If he tosses that switch on the MRI, she's dead. X-ray her brain."
"Maybe give him a call. If he tosses that switch on the MRI, she's dead. X-ray her brain.","Pins. Push them through the soft fontanelle of an infant, you skewer the brain, and the hair hides the entry wounds. It's the perfect crime."
What changed at the temple?,Same thing that changed in the MRI.
I hear your Patient's gonna be all right.,Is that why you're here? A colleague checking up on a Patient?
Something goin' on?,"I'm celebrating. He hands Wilson a sheet of paper from his desk. Wilson looks at it, then back at House. My mom hated him too."
"Your DNA test showed no match? That's incredible. At the age of 12, you actually figured out your father wasn't your birth father? That's what you wanted, wasn't it? Why should it depress you?",It doesn't depress me. Doesn't make any difference at all. That's what depresses me.
"Well, I guess nobody gets to choose who their parents are. I'm not Even sure anymore if we get to choose who our friends are. pause I spoke with Cuddy. She hasn't filled my position yet.",If you're coming back just because you're attracted to the shine of my neediness! Wilson smiles slightly I'd be okay with that.
"I'm coming back because you're right. That strange, annoying trip we just took was the most fun I've had since Amber died.",You hungry? Wilson nods. House gets up and they head for the door. House stops. Wilson.
Wilson. Yeah?,My dad's dead.
I don't know. House.,putting up a finger to stop her Eh.
walking toward him I have a case I think you might be interested in.,turning quickly and heading out of his office Not now.
A 26-year-old Woman had a tonic clonic seizure.,What about me speeding away says to you let's chat?
"History of fatigue, and two years ago she had a retinal vein occlusion.",She's diabetic.
"No, she's not. And she has no history of hypertension. She holds out the file to House, which he ignores",approaParkng Wilson's office It can wait.
approaParkng Wilson's office It can wait.,I knew I should've set up a video camera. Stay there.
I knew I should've set up a video camera. Stay there.,"Oh, my goodness. I played a practical joke on my best friend, and he's badly injured."
"Oh, my goodness. I played a practical joke on my best friend, and he's badly injured.",I wish I had learned this valuable lesson earlier. I was waiting by my window for an hour. Why are you late?
I had a breakfast meeting at Mickey's Diner with the Mercy people to tell them! Wilson sees a donut on a plate and a carton of milk behind the bookshelf I'm coming back to work here. He pulls the plate and the milk toward himself Sorry if it interfered with your plan to maim me. pause Donut's a nice touch. He takes a bite of the donut,turning and opening the door to leave It's my way of saying welcome back. House leaves. Cameron is still waiting in the hallway
The seizure could be the result of dehydration or something neurological. She holds out the file again which House takes this time,looking at the file Or the ecstasy you found in her system.
"According to Dr. Hadley, the Patient took the drugs about five hours before the seizure, so!",obviously curious What does Thirteen know about it?
"Uh, apparently she was with the Patient last night.",looking at the file again At 300 AM? Cameron shrugs
looking at the file again At 300 AM? Cameron shrugs,"lecherously Oh, yeah! PentHouse forum meets medical mystery. Maybe there is a God. He heads back to his office"
"lecherously Oh, yeah! PentHouse forum meets medical mystery. Maybe there is a God. He heads back to his office",Empty transient sex?
Not diagnostically relevant.,Depends what we're trying to diagnose. It's how steep of a spiral you're on.
Also not diagnostically relevant. Retinal vein occlusion was fixed. Her doctor said it was a venous anomaly.,Is he in this room?
She parties till 300 AM. That's why she's always tired.,Yet you seem fine.
Makes sense. Bone marrow's in overdrive. Too Many platelets. to Thirteen Sorry.,"Thirteen, go stick a needle in your girlfriend's pelvis. And no, that one wasn't a metaphor. Suck out some marrow. That one was."
"Thirteen, go stick a needle in your girlfriend's pelvis. And no, that one wasn't a metaphor. Suck out some marrow. That one was.",I like to watch. He follows her out the door
I can handle this alone.,"You've already handled it. That's why you need a chaperone. Of course, I'm a very permissive, understanding chaperone. So feel free to ignore me."
"You've already handled it. That's why you need a chaperone. Of course, I'm a very permissive, understanding chaperone. So feel free to ignore me.","You know, if you're in the mood to start kissing, or groping, or showering."
You're Dr. House?,I assume my name came up last night in the form of a moan.
"WhatEver you think we did, we we did. And then some.",Lights on or off?
Do you have a medical rationalization for that one?,Light sensitivity.
Light sensitivity. On.,"Figured she had more shame than that. Did she talk dirty, or did you rely on vague hand signals? House is writing something on a clipboard"
"She's, uh, pretty direct about what she wants.",I'm learning so much.
I'm learning so much.,"Okay, score the score. Scale of one to ten."
wincing from the pain SEven.,holding up a piece of paper with a large number 7 written on it Finally got one right. Thirteen looks thoroughly disgusted
You want to investigate him because he ate a donut?,He claimed he had a morning meeting at Mickey's Diner.
What do you think you'll find out?,"I'm worried that he might be, a spy."
He's been gone four months. You're worried the friendship has changed.,I'm just not sure if he's working for Hirohito or the New England Patriots.
You played a practical joke on him. He didn't laugh.,"I need something to lord over him, a lie"
He didn't try to retaliate. He moralized.,He always moralized.
He always moralized and got Even. He hasn't fired back.,Things always change.
And that sucks.,Yeah. Find out where he was. House gets up and leaves
We had to use paddles to stabilize the Patient's heart.,"Eye issue, brain issue, now a heart issue. Sounds like a real case to me."
"Yeah, I get it. I was wrong. Can we move on?","You're just upset! Because the whole time she was with you, she was thinking of my huge, thRobbing! Diagnostic skills. Drugs would explain Everything."
"This morning, you rejected drugs.",That's when I thought that Thirteen was right and was just jerking her around. Cardiac arrest means she could be a serious user.
"That means that something she did at my place set this off. Either she brought drugs in, or she grabbed something from my medicine cabinet. And that means my place needs to be searched. Now, I'd be happy to do that myself, but unfortunately that would be far less titillating for House, so he's about to come up with some convoluted medical reason why I have to stay here while he goes through my stuff.",Patient's dad had bypass surgery. Means she's a candidate for atherosclerosis. She needs an ultrasound. That was much less convoluted than what you just said.
"I'm not giving you my keys. If you want to do this, I'm going.",Who could pick a lock?
I'll go. Make sure he doesn't steal any underwear.,You're a disgrace to your stereotype. Move over.
Think you can pick a lock faster than me?,No need to pick. House shows Foreman a key and uses it to unlock the door
Nice. Steal from your employees.,NEver. I had my dick make keys when I hired him to dick up the team.
NEver. I had my dick make keys when I hired him to dick up the team.,Always imagined she'd have a sex swing in the living room.
Give me my key.,Don't have your key.
You expect me to beliEve that you hired Lucas to investigate Everyone except for me?,Waste of money.
I already know Everything about you.,pointing with his cane Thirteen had her purse. That's gotta be the Patient's. Check it for drugs. I call shotgun on the bedroom.
You know that I stole a car when I was a teenager. You know that my mom has Alzheimer's. You know nothing else. Foreman has put on latex gloves and is searParkng the purse,Want me to have you investigated? When did you get so needy?
Purse is clean.,Last night wasn't the first time that Thirteen brought home some strange.
You found her diary,No toys.
"No toys. You sleep with the same person over and over, that's when you need accessories. First time is plenty exciting on its own. He takes something from the drawer Unless!",You think an asthma inhaler could be used as a sex toy? He gets up of the bed and gives the inhaler a squirt
There are ways of getting to know people without committing felonies.,People interest me. Conversations don't.
both are smiling Like Thirteen.,to Thirteen Brown recluse. Found it at your apartment. Their venom can cause seizures and heart pRoblems. Unless the ultrasound showed anything
No. What room did you find it in?,"Bathroom. Nice bidet, by the way. Very refreshing."
I don't have a bidet.,Oh. Spider's not the only interesting thing I found. He pulls the inhaler out of his jacket pocket
You moved? Who cares?,He doesn't.
Spider bite doesn't explain anything unless the Patient was actually bitten by a spider. He stands up I'll do the exam.,Don't be ridiculous. That would be inappropriate. It'd be better if a Woman gropes her. There's no sexual tension that way. Thirteen stands to go do the exam
"Blood test confirms low potassium lEvels. Explains the numbness in her hip. It's not good, but I think we've got time for at least one or two comments about my personal life.",Which you just wasted with that comment about my comments. Low potassium means her heart pRoblem was a symptom of a kidney pRoblem. What caused the kidney pRoblem?
Could be IgA nephropathy.,Not without blood in the urine.
Not without blood in the urine. PSAGN?,Not with normal blood pressure.
"Renal tubular acidosis. Her kidney's don't filter acid out of the blood. Excess acid drives down potassium, causes kidney calcifications.","If it's RTA, all she needs is sodium bicarbonate for the acid and surgery to remove the calcifications."
"If it's RTA, all she needs is sodium bicarbonate for the acid and surgery to remove the calcifications. CT her kidneys. If you find calcifications, we have our diagnosis. House continues on down the corridor, Thirteen heads back to Spencer's room",What's he doing now?
He's playing that carjacking video game. He'd get a lot farther if he didn't stop at all the red lights.,Maybe he was doing something he thinks I'll mock him for.
Maybe he was doing something he thinks I'll mock him for. Like!,Just about anything.
You don't think it's that.,I don't think it's just about anything?
"You don't think it's about anything trivial. If you weren't worried, you wouldn't be sitting in my car.",Maybe he's seeing a shrink.
Maybe he's seeing a shrink.,Doesn't matter if it isn't.
The breathing pRoblem started after we fixed her kidney pRoblem. Means the RTA isn't the underlying cause.,Where's Thirteen?
Traffic's bad. She's pRobably just,Not here.
"It's not her lungs. No masses, no infiltrates.","Her lungs are working, but she still can't breathe."
That could signal autoimmune or some kind of dystrophy as the underlying cause.,There's only one way to find out if her airway failed.
Just spoke to my brother.,"And by brother, you mean?"
I mean my parents' other son.,Wow. Same dad.
"Got a call last week from your PI. You lied. You did have me investigated. You've been taunting the team with what you've learned, but you nEver came after me. grinning Means you couldn't find anything.",You're right.
grinning Means you couldn't find anything. You're right.,"That's because you haven't done anything stupid, spontaneous, or Even vaguely interesting since you were 17. And that's just sad. The elevator door closes"
to House I found her in the clinic giving herself IV fluids.,At least you could've let her finish. She looks terrible.
She has a fresh nightclub stamp on her wrist. She's in no condition to practice.,"Unless this is a prelude to an actual spanking, there's no reason for me to be"
But I can suspend you until you do.,to Cuddy Because she went to a nightclub in her free time?
"to Cuddy Because she went to a nightclub in her free time? Or because she had sex in her free time? Patient was undergoing routine surgery for RTA. Didn't need Thirteen here for that. And I don't need you making my employees punch a clock or pee in a cup. to Thirteen, nodding his head toward the door. Let's go. Thirteen hesitates",opening the door Come on. Cuddy looks stunned
as they walk into the clinic area Thank you.,"By the way, they stop the surgery was not routine, Patient stopped breathing and you missed a differential. You're fired."
What? You just defended me.,"No, I just prEvented you from getting a drug test. PRobably saved your career. I'm already taking responsibility for one doctor with a drug habit. He pops a Vicodin"
I don't have a drug habit.,The slutty party girl is fun till she pukes on your shoes. Then she's just a pain in the ass. He leaves Thirteen looking confused
The slutty party girl is fun till she pukes on your shoes. Then she's just a pain in the ass. He leaves Thirteen looking confused,I haven't sat on this couch for four months. It remembers my cheeks. I miss this.
Me too. Me trying to work. You interrupting.,"Oh, come on. Your Patients can wait five minutes. Get me caught up. Come on, what did you do? Travel? Did you get a new hobby? Did you meet someone?"
"Actually, yes. I sort of, started, dating someone.",Great. What does she do? Is she! an actress?
No. Why would you think that?,I just figured you'd want something a little more! Exciting!
"She's not! You're gonna find out anyway because you're gonna meet her. She's! a prostitute. Used to be. She made some mistakes. Single mom, had some drug issues. But! she's so smart. She wants to go to law school. And! I told her I'd help her with tuition.",How long have you known her?
I knew you'd be like this.,I asked a question.
House! You are a drug addict. You go to prostitutes. You can't be judgmental.,And yet.
"Please, don't do this to me. I was hurting, and I wanted to feel good. I didn't expect it! to go this way. I! Amber! Said that she wanted me to move on. That she wanted me to! Be happy. And Debbie, makes me happy.","If you're happy, I'm! He gets up suddenly and disappears out the door, leaving Wilson looking puzzled"
"Lung cysts plus all her other symptoms could be Amyloidosis, which we can Manage. Or pulmonary fibrosis which",Thank you. My employees can take care of it from here. He sits down behind his desk We need to biopsy the cysts.
You fired me because I screwed up. I just proved I can pull my weight.,All you proved is you know how to make an entrance.
"House, she deserves another shot. She found the cysts, saved the Patient.",Who wouldn't have needed saving if Thirteen had shown up at the differential in the first place.
"Give her her job back, House.",Or what? You're gonna quit? Go do the biopsy. Taub and Kutner leave
"to Thirteen I'm sorry. He follows Taub and Kutner, leaving Thirteen standing alone in front of House","How much clearer do I need to make this? Thirteen looks at House and then, clearly upset, turns and walks out of his office"
"What does that Even mean, dating a hooker?",He's an idiot with a messiah complex.
From you or the ho?,The ho's just using him for his money. Wait. Bad example.
"Normally in these situations, I'd follow the girl, find out something embarrassing about her to show him. But since that's our starting position!",Proceed directly to the leg-breaking.
"I'm not breaking her legs. She pRobably has a pimp. Or, at least, an older brother. Or a younger brother. Or overprotective sister.","Find her, find her family, find client number nine. Just get me something I can use to force her to back off."
"approaParkng the bench Sorry to interrupt your meeting, Mannix. Here's the result from the lung biopsy.",Why not men?
Here I thought I was just into boobs.,"Instead of getting sweaty with a stranger, why don't you try taking it to the next lEvel?"
closing the file and looking up at House Okay.,This is not a test. You're not getting your job back if you can
All her blood counts are down. It's a new symptom. Aplastic anemia.,Does the word fired have some whole other definition that I'm not aware of? He turns to face Thirteen
I don't work for you. Fine. Don't pay me. Just let me finish out this case.,So you like her now that she's dying. What happens if she stops dying?
"Or mastocytosis, which can cause systemic shock and kill her in days.","Go. Test for Everything. Taub, Kutner, and Foreman leave to Thirteen Not you. You're just a visitor."
I'm glad you're here.,She needs a bone marrow transplant.
Test results are back? What's she positive for?,Nothing. But we've got a donor match.
Jumping to a transplant when we don't know what she,I know she has a blood disorder.
"Yeah, I get it. But she'll nEver survive total body irradiation.",So we don't radiate her. Her marrow's nearly wiped out already. Counts almost zero.
Almost being the key word. The new marrow would attack the old marrow. She'll die from graft-versus-host.,You got a better idea? She trusts you. Go get her consent.
Sometimes I find out things you'd rather not know. House opens the bag to rEveal a used syringe This was in his trash. He's using. House grins,You're back.
House grins You're back.,Genius.
Damn. I knew the fake works was too much.,"Well, you had no choice."
"Cane prints. I'm actually kind of insulted. No way I'm a drug addict, but you completely buy that I fell in love with a prostitute?",You played to your strengths.
Best $30 I Ever spent.,It's $30? Did you keep her number?
"Unfortunately, I killed her and buried her in the basement.",Shame. Hungry?
Yeah. Wilson gets up,"So, seriously. Where were you the other morning?"
"Ugh, don't make me do this again. It has nothing to do with you.",Then tell me.
putting on his jacket We're going bowling on Monday. I'm coming over to play poker this weekend. Nothing's changed. You have to trust that.,too compliantly Okay.
"You're gonna keep following me, aren't you?",It's what we do.
She said yes to the transplant.,Good. You're in a downward spiral of destruction.
I can stop.,You're gonna keep spiraling.
You're hiring me back?,You did good work.
"I did good work yesterday, and I was still fired. What changed? with sudden realization You wanted me to spend time with her. See if I could still make a connection.","You connected with a diagnosis, not with her."
"You're trying to save me, trying to control me. You're doing exactly what you think that I'm",noticing something Cracks. You're lips are cracked. Thirteen puts her fingers to her lips You been using your inhaler lately?
Allergies. Don't deflect. You always deflect.,"thinking Did she cry? When you told her that she was gonna die, did she cry?"
She! got upset. She,Were. there. tears?
tears? No.,"Chopping an onion releases a mist of syn-propanethial-s-oxide, a chemical irritant House holds the cut onion in front of Spencer's nose while trying not to tear up himself which causes"
She has no tears.,It was either this or put on Brian's song.
It doesn't cause bleeding.,"It's like you and men. Just 'cause you usually don't, doesn't mean you can't."
And it doesn't cause cracked lips in other people.,Lack of spit makes her mouth a breeding ground for a fungus like Candida.
So she's got what I've got.,"Just the opportunistic infection, not the underlying condition. Another life saved by girl-on-girl action."
You're gonna be okay.,Methylprednisolone to get the Sjogren's under control.
What do you think?,"Oh, my God! You guys shop here too? Best nipples in Princeton."
Why are you here?,taking off his sunglasses Because he ate the donut.
not believing Wilson I'm sure.,"Well, you're clearly not pregnant, so either you're buying this as a gift, or this is some kind of weird if you build it, they will come moment."
Are you gonna congratulate me?,"If you're happy, I'm"
"Great. That's all I need to know. to House You're late! on the phone Okay, bye. She tries to give House a Patient file. 37-year-old male with recurring blackouts.",Tell him to switch from tequila to bourbon. Worked for me.
The three doctors he's already seen already ruled out drugs and alcohol.,"Well, then it's epilepsy. Tell him to buy a hockey helmet"
EEG's clean. So is the CT.,Relax.
"You're welcome, Dr. House. It is an interesting case. She starts to leave.",What time are you seeing the mom?
turning back Are you having your guy follow me?,"I just trashed your social value as a mother, and all I got was a little sarcasm."
We're meeting at 1100. She's due to deliver a baby girl in two weeks.,I'm sure the mom'll be thrilled to hand her crack baby off to a doctor.
She's not a crack baby.,"No, mother's perfectly healthy. She just had to give up the baby in order to continue her work on the huMan genome."
She confessed to some past meth use.,What they don't confess to is almost always more interesting. This is a mistake.
Because a kid you don't know may have some pRoblems you don't know about that she may have passed on to a kid?,Because you're a control seeking narcissist.
In a little place called follow me and your urologist will be buying himself a new yacht.,"They explained the returns policy, right? It's worse than video games."
Could be post concussion syndrome.,Not without a pre-concussion. Pick a number.
Pick a number. For what?,Cuddy pool. She got the nod. Little tweaker's due in 14 days.
That's great news! I think.,It's good news.
But she's been dying for a kid for three years. No way she's gonna back out now.,Not one of the options.
Cavernous sinus thrombosis could cause absence seizures and memory loss. I'll take 7 to 14.,We have a player.
It's only great news if she wants it to be great news. House knows her better than any of us. House has written Kutner in the middle column. I'd rather use a pseudonym.,Good thinking.
Could be some sort of narcolepsy.,inspecting the coffee area Which is caused by!
There's usually genetic history.,Or?
"If you know the answer, can you tell us the answer?",I don't know the answer. Which brings us back to or?
Some sort of environmental trigger.,Which means?
It's a toxin.,So we are?
Being lead down an annoying path.,I honestly don't know where this is going. Just following the clues.
We're right back where we started. The mold we found doesn't cause these symptoms. And there's nothing else at his home.,And?
And you're obnoxious. He nEver goes anywhere else.,Which we know because?
Because he says so. Because his daughter says so. Because they have no reason to lie.,Which proves he nEver goes anywhere else! pause when! pause he's! longer pause
longer pause Conscious.,"Oh, my God, you're right."
He said he had an appointment.,"Next time, let him keep it. Send him home. See where his dreams take him."
There are dozens of other things this rash could indiCate. I want a full fetal work up.,You're losing it. That's what happens when you have kids. Ceaseless crying and nagging leads to irrational fears. It's impressive that you didn't wait for the actual crying and nagging.
"She had a lace pattern rash, joint pain, and a history of drug abuse. You would've done exactly the same thing.",Uh-huh. And I'd be an excellent father.
Hey! What are you doing?,Baby barf. Maternity ward was handing out free samples.
"pulling tissues from a dispenser at the nurses' station Well played, sir. You leave me no choice but to change. My clothes, not my mind.",That's exactly my point.
Why do you Even care? It's not like I'm Ever gonna ask you to babysit.,I'm a huManitarian.
"Apparently, Rip's a coke fiend.",So Sleeping Beauty has a Jones for Snow White.
He has no reason to lie. He knows he's sick. His job doesn't drug test. No relationship. His daughter wouldn't find out.,Maybe he just forgot.
Forgot he did cocaine? You're going with forgot over lying?,Fits. Cocaine explains the narcolepsy. Narcolepsy explains the sleepwalking. WhatEver is in the cocaine other than the cocaine explains the memory loss.
"Great, we'll start him on immediate treatment for all kinds of garbage.",You can narrow it down in the lab.
Not without a sample.,So get a sample.
You want us to score cocaine from a drug dealer?,It's exciting.
It's a felony.,It's necessary.
"No, I'm a just a bitch who knows what she wants.","Looks like this kid thing is really working out for you. All of the shopping, none of the stretch marks."
Not a good time.,"Right, kid's getting worse. Blessing in disguise. Although a completely predictable one. You take in strays, don't be surprised by the worms."
Still wearing the sweater.,I didn't say you weren't stubborn. I said you weren't maternal.
Thank you. Go away.,You're getting crankier.
Baby's sick. Sorry I'm not finding the fun in that.,Is it really worth it? Just for the pursuit of unconditional love?
Only you could see that as a bad thing.,It's a fake thing. There's no unconditional love. It's just unconditional need. Don't make this Parkld a victim of your biological clock.
Victim? You think she's better off staying,Yes! Because at least she knows she's not qualified for the job.
"Let me guess. I'm gonna tell her not to play ball in the House, but she's not gonna listen.","No, actually, I was going for she sneaks her boyfriend in while you're sleeping, and he wants to do it on the desk."
You know you're gonna pay for that.,I'm paying for it right now. With wisdom.
We found lactose. The coke was cut with milk powder.,Makes it nutritious.
Not much of a toxin.,It is if he's allergic to milk.
He's not. He has milk in his fridge.,How does he like his coffee?
I don't know. What does that,What type of cereal's in the cabinet?
"Cocoa-something. Why, what does it matter?",pushing the button for the elevator He likes his coffee black. Milk's for the kid.
How can you be sure?,"Because if he drank the milk, he'd know that he's lactose intolerant."
The mother had a stage two placental abruption. She's losing blood.,So deliver the baby.
The lungs are ten weeks premature. She hands him a clipboard.,"So deliver now, risk the baby. Deliver later, risk the mom. It's not your baby yet. It's not your call."
She'll do whatEver I tell her to do.,"Self-worth issues. That's genetic, you know. You should deliver now."
Right. She gets up to leave.,Are you serious?
You're not? You just told me,The wrong answer. You can give the mom more blood. You can't give the fetus more lungs.
The lungs might work. It's the right decision medically.,And yet you're here.
"To get your opinion, not to get jerked around.","See, this is what's screwed up here."
This is an impossible situation. I'm advising her to take the safest route.,Right. Doesn't explain why you changed your sweater.
Right. Doesn't explain why you changed your sweater.,I need your advice. He drops a file on the table.
without looking up It's not cancer.,Wow. Can you remove spleens with your mind too?
You're here to talk about Cuddy. The file is a pretext. He starts shining the apple.,Why the hell haven't you come to talk to me about Cuddy? I've been doing all sorts of insane stuff.
"If she can't handle your insanity, she can't handle a baby.",That's exactly my point.
"No, it isn't. You're feeling threatened because she's going onto high school and leaving you behind to repeat the eighth grade.",She's sleeping with the math teacher to get a diploma.
Adoption is cheating? Are they giving her a fake kid?,"That's the pRoblem. She gets to have a relationship with a kid, but she can't handle one with an adult. So she's gonna kill it."
"Well, it does seem cleaner. House tosses the box on the table. I've seen the file. She's making a judgment call.",Decisions are nEver made in a vacuum. He takes back the Patient file.
Just like your decision to make her miserable. You're doing this because we no longer have inkwells and Cuddy doesn't have pigtails.,Why do you think I did that?
Because there aren't any. I think! You're sweating blood.,Guy's bleeding out of his pores. What does that tell us? Other than that you don't want to play basketball against him and he's dying?
Leukemia has false negatives all the time.,"So we have four reasons for leukemia, four reasons against."
Only need one against.,"Yeah, if we had one reason for anything else. Go do a bone marrow biopsy."
"Chem panel confirms kidney failure, end stage.",Got him on dialysis?
BP's too low.,Too bad. It would've been nice to have more than an hour or two to solve this thing.
It would've been nice to have more than an hour or two to solve this thing. Hemachromatosis?,He have tiny testes?
He have tiny testes? No. Scleroderma.,"His skin's darker, not lighter. As much fun as 20 questions tends to be, he's blowing blood out of Every orifice, you think it just might be vascular?"
